sum_pl_fwd_count,sum_pl_bwd_count,pl_count_ratio,sum_pl_fwd_bytes,sum_pl_bwd_bytes,pl_flow_bwd_fwd_byte_ratio,predicted_label,true_label,anomaly_score,decision_score,normalized_anomaly_score
457,28957,63.224890829694324,28521,42153069,1477.9660250341853,dns_attack,dns_attack,0.8241647546637108,-0.09963520303152706,0.9999999999999998
378,42199,111.34300791556728,18132,61709356,3403.3397308625636,dns_attack,dns_attack,0.8065153255843691,-0.08198577395218543,0.9515805807144473
183,42001,228.2663043478261,9051,61624599,6808.595624792841,dns_attack,dns_attack,0.7579952444004086,-0.033465692768224864,0.8184706572118754
163,39618,241.5731707317073,8062,58153576,7213.293971719177,dns_attack,dns_attack,0.7390700582030248,-0.01454050657084116,0.7665513276160618
124,40013,320.104,6134,58767049,9580.542712748615,dns,dns_attack,0.7030121223834896,0.021517429248694042,0.6676300364417669
119,21997,183.30833333333334,5987,32258085,5388.021546684483,dns,dns_attack,0.6914484308749176,0.0330811207572661,0.6359062211769606
119,39953,332.94166666666666,6004,58686928,9774.638241172552,dns,dns_attack,0.6914484308749176,0.0330811207572661,0.6359062211769606
106,39998,373.8130841121495,5548,58773326,10593.605984138429,dns,dns_attack,0.687153920489712,0.037375631142471666,0.6241246673356062
242,243,1.0,11646,86108,7.393783273226859,dns,dns,0.6844264284568146,0.040103123175369126,0.6166420694710983
101,35793,350.9117647058824,4925,52571583,10674.4330964467,dns,dns_attack,0.6838675352063046,0.04066201642587908,0.6151088025019145
241,239,0.987603305785124,24454,87116,3.5624437719800444,dns,dns,0.6748937752982616,0.04963577633392213,0.5904902020020264
90,40159,441.3076923076923,4721,59029052,12503.506036856597,dns,dns_attack,0.6695364887637527,0.054993062868430975,0.5757930295449951
258,257,0.9922779922779923,13191,117219,8.886286104161929,dns,dns,0.6667368255492516,0.05779272608293207,0.5681124373608584
226,220,0.9691629955947136,10751,115755,10.766905404148451,dns,dns,0.6449144472427027,0.07961510438948094,0.5082449549463988
291,280,0.958904109589041,23679,87856,3.710291819755902,dns,dns,0.6441298371267647,0.08039971450541894,0.5060924566412974
174,174,0.9942857142857143,8552,65619,7.672942001870908,dns,dns,0.6195881961731381,0.1049413554590456,0.4387649528479871
164,164,0.9939393939393939,8526,80311,9.419540229885058,dns,dns,0.6171836107360616,0.10734594089612204,0.4321682164911145
122,124,1.008130081300813,9015,54963,6.096838602329451,dns,dns,0.5884759759155785,0.13605357571660515,0.3534117308948477
330,81,0.24471299093655588,15098,35542,2.354086633991257,dns,dns,0.5823943633424898,0.14213518828969385,0.3367274433870244
146,146,0.9931972789115646,7472,66762,8.934957173447538,dns,dns,0.5795549990467717,0.14497455258541203,0.32893793531167703
141,141,0.9929577464788732,7206,70065,9.72314737718568,dns,dns,0.5753409646733412,0.14918858695884252,0.31737715924953847
141,141,0.9929577464788732,7284,67138,9.21718835804503,dns,dns,0.5749259569184463,0.1496035947137374,0.3162386275496927
129,128,0.9846153846153847,7414,55268,7.454545454545454,dns,dns,0.5744226730682215,0.1501068785639622,0.3148579193322125
144,144,0.993103448275862,7135,63757,8.935809390329363,dns,dns,0.5728059565155716,0.15172359511661204,0.3104226213813983
124,127,1.016,6500,54783,8.428153846153846,dns,dns,0.5717568078099786,0.15277274382220507,0.307544388275917
107,108,1.0,8921,44987,5.042820311624258,dns,dns,0.5658190856018334,0.15871046603035033,0.2912548493959406
