sum_pl_fwd_count,sum_pl_bwd_count,pl_count_ratio,sum_pl_fwd_bytes,sum_pl_bwd_bytes,pl_flow_bwd_fwd_byte_ratio,predicted_label,true_label,anomaly_score,decision_score,normalized_anomaly_score
1046,1070,1.0219675262655206,45658,118108,2.5867974944149985,dns_attack,dns_attack,0.7371220002044447,-0.01259244857226105,0.9999999999999998
1109,1109,0.9990990990990991,49142,118449,2.41034145944406,dns,dns,0.7186779498821325,0.005851601750051172,0.944949534466949
176,203,1.1468926553672316,8590,39463,4.59406286379511,dns,dns_attack,0.6607985164384573,0.06373103519372636,0.7721951936262588
201,213,1.0544554455445545,8828,30307,3.4330539193475307,dns,dns_attack,0.6297579340977484,0.0947716175344353,0.6795475116685785
144,184,1.2689655172413794,6016,37048,6.158244680851064,dns,dns_attack,0.6270647309757825,0.09746482065640116,0.6715090340539338
124,163,1.304,6858,40933,5.968649752114319,dns,dns_attack,0.6161769822800364,0.10835256935214732,0.639012070326687
129,173,1.3307692307692307,6011,41960,6.980535684578273,dns,dns_attack,0.6151634910101526,0.10936606062203114,0.6359870749896654
14,22,1.4666666666666666,646,4855,7.515479876160991,dns,dns_attack,0.6088523413349404,0.11567721029724332,0.6171500125441733
9,16,1.6,420,4145,9.869047619047619,dns,dns_attack,0.6066783230003804,0.1178512286318033,0.6106611600793685
17,21,1.1666666666666667,816,3514,4.306372549019608,dns,dns_attack,0.602816366051348,0.12171318558083566,0.5991342706924079
121,152,1.2459016393442623,6555,35999,5.491838291380626,dns,dns_attack,0.6022633820481711,0.1222661695840126,0.59748376409135
20,72,3.4285714285714284,924,28149,30.464285714285715,dns,dns_attack,0.594564462988085,0.12996508864409873,0.5745045880994961
10,24,2.1818181818181817,471,3515,7.462845010615712,dns,dns_attack,0.5936108275534625,0.13091872407872118,0.5716582461243134
22,61,2.652173913043478,956,21065,22.034518828451883,dns,dns_attack,0.5929103633614123,0.13161918827077135,0.5695675513372283
